"Year","Month","Day","Line","NumberOfOutliers"
2013,12,11,125,2
2013,12,11,129,2
2013,12,31,154,1
2013,10,9,366,1
2013,10,9,367,1
2013,10,27,934,3
2013,10,27,935,3
2013,10,9,362,1
2013,10,9,363,5
2013,10,16,901,2
2013,12,30,804,5
2013,10,10,635,1
2013,12,6,898,3
2013,12,6,895,1
2013,11,12,570,1
2013,9,30,298,1
2013,9,27,634,2
2013,11,9,2801,1
2013,9,30,292,3
2013,11,3,460,1
2013,11,3,462,1
2013,11,8,210,1
2013,11,3,465,1
2013,12,5,181,1
2013,11,25,217,2
2013,10,10,334,1
2013,10,10,335,1
2013,10,14,2344,6
2013,10,14,2345,1
2013,10,14,2342,9
2013,10,14,2343,5
2013,12,12,615,1
2013,10,10,339,1
2013,10,8,910,1
2013,10,2,570,1
2013,10,8,915,1
2013,10,16,132,2
2013,12,14,398,11
2013,10,23,328,5
2013,12,14,397,1
2013,10,28,190,1
2013,11,30,178,2
2013,11,30,173,1
2013,10,8,622,1
2013,12,30,634,4
2013,12,14,178,3
2013,10,10,844,1
2013,10,28,448,1
2013,10,10,843,2
2013,12,14,170,1
2013,12,13,2331,1
2013,12,13,2332,6
2013,12,14,173,1
2013,12,13,2334,2
2013,12,13,2335,5
2013,12,13,2336,27
2013,11,12,2331,1
2013,10,10,2801,1
2013,10,29,217,1
2013,12,21,209,1
2013,11,7,154,1
2013,11,7,155,2
2013,11,2,924,6
2013,11,5,363,3
2013,12,14,180,8
2013,10,19,155,1
2013,10,19,157,1
2013,11,5,368,1
2013,10,17,157,1
2013,10,17,154,2
2013,10,2,914,1
2013,10,2,915,11
2013,10,2,910,14
2013,10,2,913,2
2013,12,17,217,1
2013,11,29,155,1
2013,12,10,804,6
2013,12,15,794,1
2013,11,11,318,3
2013,11,11,315,2
2013,11,11,317,1
2013,12,9,2329,2
2013,10,30,653,1
2013,12,11,711,1
2013,12,8,849,1
2013,10,21,123,1
2013,10,21,125,1
2013,10,21,127,3
2013,10,21,126,2
2013,11,8,867,1
2013,11,8,866,2
2013,11,8,864,4
2013,10,26,155,1
2013,12,1,404,1
2013,11,1,824,1
2013,11,8,689,5
2013,10,30,383,2
2013,10,30,476,1
2013,11,23,308,1
2013,10,11,217,1
2013,10,1,750,4
2013,10,29,864,1
2013,10,29,866,2
2013,10,29,867,3
2013,10,1,759,1
2013,12,16,354,1
2013,11,1,2310,1
2013,12,16,464,4
2013,12,22,125,2
2013,12,16,607,1
2013,12,16,460,3
2013,12,16,461,1
2013,12,16,462,4
2013,12,16,463,1
2013,11,11,2344,5
2013,12,16,600,2
2013,12,2,2018,1
2013,11,11,2342,6
2013,12,16,353,7
2013,11,1,392,1
2013,10,14,2114,1
2013,10,2,2801,1
2013,10,11,880,1
2013,10,11,887,1
2013,10,11,886,3
2013,10,6,178,2
2013,10,11,884,1
2013,10,11,888,3
2013,10,1,634,9
2013,10,1,635,3
2013,10,2,363,5
2013,10,2,362,1
2013,10,2,367,1
2013,10,2,366,1
2013,12,10,379,1
2013,12,23,317,1
2013,12,23,315,2
2013,12,22,382,6
2013,11,10,804,3
2013,12,9,580,4
2013,11,12,901,3
2013,12,29,405,1
2013,12,13,580,4
2013,9,30,378,6
2013,12,4,309,1
2013,11,9,834,1
2013,12,25,110,1
2013,11,9,839,1
2013,11,9,838,1
2013,9,30,371,1
2013,10,14,867,3
2013,12,25,119,2
2013,10,1,2343,13
2013,10,1,2342,8
2013,10,1,2345,1
2013,10,1,2344,13
2013,11,7,2342,3
2013,11,7,2343,3
2013,11,7,2344,1
2013,11,7,2345,1
2013,10,31,345,1
2013,10,11,261,2
2013,10,28,838,1
2013,10,10,782,1
2013,11,12,634,7
2013,11,12,636,2
2013,12,17,2015,3
2013,12,17,2014,1
2013,12,17,2017,1
2013,10,5,623,3
2013,11,1,324,2
2013,10,9,790,3
2013,11,6,2111,1
2013,12,7,786,1
2013,11,7,901,4
2013,10,16,838,3
2013,10,16,835,2
2013,10,16,836,1
2013,10,19,301,1
2013,10,22,634,7
2013,10,22,635,3
2013,12,26,238,1
2013,10,18,393,4
2013,10,18,390,1
2013,10,22,184,2
2013,10,18,397,8
2013,10,18,395,1
2013,12,19,922,1
2013,12,19,924,2
2013,12,15,342,1
2013,12,24,178,1
2013,9,29,570,1
2013,10,8,934,2
2013,12,8,893,3
2013,12,24,173,2
2013,12,11,483,1
2013,12,31,178,1
2013,12,11,485,2
2013,12,11,484,3
2013,10,20,261,1
2013,10,1,277,8
2013,10,18,2344,3
2013,10,21,901,1
2013,10,18,2345,1
2013,10,21,906,1
2013,12,18,315,1
2013,12,29,326,1
2013,10,10,457,1
2013,11,6,2801,1
2013,11,24,433,1
2013,11,6,413,3
2013,10,16,300,3
2013,10,16,309,1
2013,10,16,308,1
2013,12,27,154,1
2013,12,15,893,1
2013,12,15,895,1
2013,12,15,898,6
2013,12,11,926,1
2013,11,3,2338,1
2013,11,1,369,1
2013,12,3,201,1
2013,11,8,473,1
2013,12,11,924,7
2013,11,8,476,1
2013,11,1,360,1
2013,11,1,363,1
2013,11,1,366,1
2013,12,6,184,1
2013,9,28,378,1
2013,12,6,180,1
2013,11,11,123,1
2013,11,11,121,1
2013,11,11,120,1
2013,11,11,127,1
2013,11,11,129,2
2013,11,11,128,1
2013,11,26,328,9
2013,11,26,323,9
2013,11,26,322,6
2013,12,29,398,11
2013,10,3,460,1
2013,12,28,2345,1
2013,9,27,460,1
2013,12,17,689,1
2013,12,17,688,2
2013,11,10,653,1
2013,12,17,685,4
2013,12,17,687,4
2013,12,20,901,1
2013,12,2,329,1
2013,12,20,905,1
2013,12,2,324,1
2013,12,2,326,1
2013,12,2,323,2
2013,12,2,322,1
2013,10,11,690,3
2013,10,16,2342,9
2013,10,16,2343,9
2013,10,16,2344,7
2013,10,16,2345,1
2013,10,14,475,1
2013,10,14,474,3
2013,10,14,472,2
2013,11,1,584,1
2013,12,16,873,4
2013,12,16,871,3
2013,12,16,870,1
2013,10,17,940,1
2013,10,17,945,1
2013,9,27,432,1
2013,12,15,634,5
2013,12,27,840,5
2013,12,27,841,2
2013,12,11,2309,9
2013,11,11,781,1
2013,12,27,849,2
2013,11,6,570,4
2013,10,18,634,3
2013,11,27,409,1
2013,12,11,2342,3
2013,10,17,498,1
2013,12,16,709,2
2013,11,9,318,1
2013,12,22,711,1
2013,12,9,934,1
2013,12,16,701,2
2013,12,16,700,3
2013,9,30,410,1
2013,11,11,871,3
2013,12,27,2802,3
2013,12,23,121,1
2013,12,23,120,1
2013,10,9,300,2
2013,10,9,301,1
2013,12,23,125,2
2013,12,23,127,1
2013,12,23,126,2
2013,11,3,663,3
2013,10,9,308,1
2013,10,3,803,1
2013,12,23,2336,7
2013,12,23,2335,6
2013,12,23,2333,8
2013,12,13,915,7
2013,12,13,914,3
2013,12,13,910,7
2013,12,13,913,3
2013,12,25,580,3
2013,12,25,584,2
2013,11,3,484,2
2013,11,3,485,3
2013,11,3,483,1
2013,12,6,744,1
2013,12,3,584,1
2013,12,3,852,1
2013,12,3,583,2
2013,10,27,773,1
2013,12,31,170,1
2013,12,13,413,3
2013,10,16,157,2
2013,10,16,155,2
2013,12,14,374,1
2013,12,14,375,1
2013,12,6,405,1
2013,10,11,696,1
2013,10,11,692,6
2013,12,14,378,1
2013,10,11,691,3
2013,11,9,315,1
2013,12,25,328,4
2013,11,9,312,1
2013,12,11,2308,7
2013,12,11,2307,6
2013,12,25,324,1
2013,12,11,2305,2
2013,12,25,321,6
2013,12,11,2302,2
2013,12,25,323,3
2013,12,25,322,8
2013,12,30,342,1
2013,12,31,354,2
2013,11,2,497,1
2013,12,13,2310,5
2013,10,10,864,2
2013,10,10,866,1
2013,10,10,867,2
2013,10,10,869,1
2013,12,14,119,4
2013,10,11,524,1
2013,10,19,794,1
2013,10,5,457,1
2013,12,21,220,1
2013,11,7,132,2
2013,11,7,133,3
2013,11,7,136,1
2013,12,21,229,1
2013,10,10,711,1
2013,12,12,895,1
2013,10,23,382,1
2013,10,19,172,1
2013,12,12,893,8
2013,10,19,170,1
2013,12,12,898,11
2013,10,19,178,2
2013,10,17,133,3
2013,10,17,132,1
2013,11,1,128,2
2013,12,27,455,1
2013,11,5,523,2
2013,12,7,126,1
2013,11,29,133,1
2013,11,29,132,1
2013,9,27,370,2
2013,11,29,136,1
2013,10,29,497,1
2013,10,15,901,2
2013,11,23,915,4
2013,11,11,663,1
2013,12,16,942,2
2013,12,11,734,7
2013,12,16,940,1
2013,11,23,914,1
2013,10,3,786,1
2013,10,21,2338,2
2013,12,8,868,1
2013,12,1,178,4
2013,11,1,804,1
2013,11,1,805,2
2013,12,17,946,3
2013,12,17,942,2
2013,12,17,232,3
2013,11,1,779,1
2013,10,30,901,2
2013,12,24,2802,1
2013,9,27,848,1
2013,10,11,805,1
2013,10,1,771,1
2013,10,29,805,1
2013,12,10,689,2
2013,9,27,901,1
2013,12,20,229,3
2013,11,1,110,2
2013,12,9,748,1
2013,11,8,2381,9
2013,12,29,2345,2
2013,12,29,2343,1
2013,10,6,155,1
2013,12,29,569,1
2013,10,6,157,1
2013,11,30,935,1
2013,11,30,934,2
2013,12,23,334,1
2013,11,10,821,1
2013,11,10,825,1
2013,11,12,924,3
2013,11,12,389,1
2013,11,12,432,1
2013,11,12,433,1
2013,11,12,922,2
2013,12,12,111,2
2013,11,12,382,1
2013,11,12,383,2
2013,11,12,384,7
2013,11,12,385,2
2013,11,12,438,1
2013,11,12,439,1
2013,9,30,311,2
2013,9,30,310,1
2013,9,30,313,1
2013,9,30,312,4
2013,9,30,315,2
2013,12,25,136,3
2013,12,4,323,1
2013,12,4,322,4
2013,11,12,388,4
2013,12,13,183,3
2013,12,14,2344,1
2013,12,14,2345,4
2013,10,7,634,3
2013,10,7,635,1
2013,10,7,636,1
2013,12,14,2343,1
2013,12,13,181,4
2013,12,5,734,1
2013,10,31,362,1
2013,10,31,363,1
2013,12,12,119,1
2013,12,16,2342,2
2013,12,16,2343,4
2013,12,9,401,1
2013,12,16,2344,2
2013,12,16,2345,2
2013,10,11,209,2
2013,12,13,701,4
2013,12,23,842,1
2013,12,23,840,1
2013,12,23,841,2
2013,12,23,849,3
2013,12,27,360,4
2013,12,19,901,3
2013,12,11,936,6
2013,11,3,348,1
2013,10,17,723,1
2013,11,3,837,1
2013,12,26,2343,1
2013,12,26,2345,2
2013,11,8,394,1
2013,11,8,397,9
2013,11,8,396,2
2013,12,24,155,3
2013,12,24,154,2
2013,12,24,158,1
2013,12,30,404,1
2013,12,30,405,1
2013,12,30,402,1
2013,12,30,154,1
2013,12,30,155,2
2013,12,30,409,1
2013,10,29,397,4
2013,10,29,399,1
2013,11,25,409,1
2013,11,25,401,1
2013,10,10,473,1
2013,10,10,472,2
2013,10,10,476,1
2013,10,19,363,3
2013,10,19,367,1
2013,11,29,580,1
2013,11,29,583,2
2013,11,29,584,2
2013,11,11,2343,7
2013,10,16,363,5
2013,10,16,362,2
2013,11,10,229,3
2013,12,14,584,2
2013,12,14,580,3
2013,12,14,583,4
2013,11,5,753,1
2013,11,5,758,1
2013,12,29,825,1
2013,12,29,822,5
2013,12,29,821,7
2013,10,1,180,1
2013,11,11,901,2
2013,12,8,497,1
2013,10,1,183,5
2013,10,1,184,5
2013,10,1,186,1
2013,12,3,261,1
2013,11,26,123,1
2013,11,26,125,1
2013,11,26,127,2
2013,12,19,650,1
2013,11,1,345,1
2013,12,14,635,1
2013,12,14,634,6
2013,9,28,312,1
2013,10,19,584,6
2013,10,31,569,1
2013,10,19,583,3
2013,10,19,580,1
2013,12,10,162,3
2013,10,14,277,3
2013,10,15,739,1
2013,11,26,696,1
2013,10,10,2018,1
2013,10,24,397,1
2013,12,21,413,1
2013,10,31,623,1
2013,12,21,415,1
2013,12,4,2344,2
2013,11,9,570,1
2013,11,24,940,1
2013,12,13,525,1
2013,10,5,184,4
2013,10,5,180,1
2013,10,5,183,1
2013,10,14,410,1
2013,10,14,415,1
2013,11,1,2295,1
2013,10,17,922,2
2013,12,1,615,1
2013,10,17,926,1
2013,10,17,924,4
2013,12,27,868,4
2013,12,27,869,1
2013,12,17,557,5
2013,12,27,864,1
2013,11,4,570,2
2013,12,11,696,3
2013,11,6,512,1
2013,12,11,690,4
2013,11,27,460,2
2013,11,27,462,1
2013,12,16,721,5
2013,12,9,261,1
2013,12,18,570,5
2013,11,11,851,1
2013,10,20,837,1
2013,12,25,839,2
2013,11,27,687,1
2013,10,6,838,1
2013,12,25,833,2
2013,11,3,136,2
2013,11,3,132,1
2013,11,3,133,1
2013,12,5,2331,1
2013,10,4,914,1
2013,10,4,915,1
2013,11,4,2145,5
2013,9,29,901,1
2013,12,13,936,1
2013,12,13,935,1
2013,12,13,934,1
2013,12,11,2014,1
2013,9,27,678,1
2013,11,8,254,1
2013,12,4,229,1
2013,10,14,2309,2
2013,10,14,2302,4
2013,10,14,2307,3
2013,10,14,2305,5
2013,10,1,405,1
2013,12,12,650,1
2013,10,1,401,2
2013,10,8,409,1
2013,9,30,786,2
2013,10,1,409,1
2013,9,30,783,2
2013,9,30,781,1
2013,10,9,328,14
2013,10,9,329,4
2013,10,9,858,1
2013,10,9,859,1
2013,10,9,321,3
2013,10,9,322,5
2013,10,9,323,19
2013,10,9,324,3
2013,10,9,325,2
2013,10,9,326,2
2013,10,9,327,1
2013,12,24,2343,2
2013,10,16,176,1
2013,10,16,172,2
2013,10,16,173,1
2013,10,16,178,2
2013,10,6,2145,1
2013,10,28,155,1
2013,10,28,157,3
2013,12,23,180,4
2013,10,7,341,6
2013,10,24,864,1
2013,11,30,133,4
2013,11,30,136,2
2013,12,25,301,1
2013,12,30,366,9
2013,11,9,379,1
2013,12,30,363,3
2013,12,30,361,3
2013,12,30,360,3
2013,10,10,802,1
2013,12,14,136,1
2013,10,28,484,1
2013,10,10,804,1
2013,12,14,133,11
2013,10,28,378,1
2013,12,21,154,2
2013,12,13,825,7
2013,12,21,155,1
2013,12,20,913,1
2013,12,7,570,1
2013,12,13,821,5
2013,10,31,635,3
2013,11,7,110,5
2013,11,5,328,6
2013,12,27,298,1
2013,10,2,2338,4
2013,11,5,321,2
2013,11,7,119,1
2013,11,5,323,7
2013,11,5,322,4
2013,11,5,324,1
2013,11,7,448,1
2013,11,5,326,1
2013,10,9,2310,1
2013,11,4,806,1
2013,12,2,825,1
2013,10,21,202,1
2013,12,30,893,1
2013,12,30,898,6
2013,10,17,110,4
2013,11,8,802,2
2013,12,18,2308,1
2013,12,18,2309,1
2013,11,8,805,1
2013,12,15,915,4
2013,11,29,110,1
2013,10,3,277,1
2013,10,15,923,2
2013,10,15,924,4
2013,12,1,373,1
2013,12,17,238,1
2013,12,17,239,5
2013,10,23,901,1
2013,10,23,908,2
2013,11,1,758,1
2013,11,8,822,2
2013,12,8,804,7
2013,10,18,315,1
2013,11,1,753,1
2013,12,1,110,1
2013,12,17,786,1
2013,12,17,940,1
2013,12,17,782,4
2013,10,30,924,2
2013,9,27,867,1
2013,10,29,825,1
2013,9,27,864,2
2013,10,29,822,1
2013,11,1,132,1
2013,11,1,133,1
2013,11,1,136,1
2013,11,11,2303,2
2013,11,11,2307,1
2013,11,11,2308,1
2013,12,20,209,1
2013,10,2,327,3
2013,10,2,326,2
2013,10,2,324,1
2013,10,2,323,17
2013,10,2,322,10
2013,10,2,321,1
2013,12,10,401,1
2013,10,24,184,3
2013,12,10,405,1
2013,10,2,328,15
2013,12,21,607,1
2013,12,13,898,16
2013,9,30,338,1
2013,9,30,334,1
2013,9,30,331,1
2013,12,25,155,2
2013,11,24,615,1
2013,12,19,696,1
2013,12,4,342,1
2013,12,4,345,1
2013,12,22,696,2
2013,10,27,696,9
2013,12,5,864,1
2013,12,5,866,1
2013,12,5,861,1
2013,11,6,238,1
2013,11,4,384,1
2013,11,4,385,1
2013,12,13,763,1
2013,12,13,760,1
2013,12,13,761,2
2013,12,13,766,1
2013,12,13,764,1
2013,10,5,663,1
2013,12,7,747,1
2013,12,23,864,1
2013,12,23,867,1
2013,12,23,868,5
2013,12,23,869,4
2013,11,3,584,3
2013,11,3,583,1
2013,10,19,652,1
2013,12,1,132,1
2013,11,8,613,1
2013,12,11,315,5
2013,12,11,910,9
2013,12,11,917,1
2013,12,11,915,6
2013,12,11,914,1
2013,10,1,2295,7
2013,10,9,462,1
2013,10,9,461,1
2013,10,9,460,3
2013,9,27,2329,1
2013,10,22,901,5
2013,11,3,363,1
2013,11,3,366,1
2013,10,4,701,1
2013,10,4,700,1
2013,10,11,229,2
2013,12,24,132,2
2013,12,14,830,5
2013,12,14,833,4
2013,12,24,136,1
2013,12,12,220,1
2013,12,14,839,6
2013,12,14,838,1
2013,12,30,132,1
2013,12,30,133,3
2013,12,5,369,2
2013,12,30,136,4
2013,10,29,623,1
2013,10,20,229,1
2013,10,29,621,1
2013,12,9,512,4
2013,10,16,692,1
2013,10,16,696,4
2013,12,26,277,1
2013,10,19,349,1
2013,12,8,121,2
2013,12,8,120,1
2013,12,8,650,1
2013,10,16,349,5
2013,10,16,348,4
2013,12,15,850,1
2013,12,27,663,1
2013,12,29,804,5
2013,12,9,924,1
2013,11,30,327,1
2013,12,21,382,4
2013,12,14,651,1
2013,12,14,650,1
2013,12,18,393,1
2013,9,28,334,1
2013,10,23,752,1
2013,12,12,910,4
2013,12,12,914,1
2013,12,12,915,2
2013,10,14,781,1
2013,10,14,783,2
2013,10,15,712,1
2013,10,15,711,1
2013,12,28,2303,1
2013,12,1,584,1
2013,10,24,379,1
2013,10,24,378,2
2013,11,7,306,1
2013,11,7,301,1
2013,12,21,161,1
2013,11,7,653,1
2013,12,2,363,2
2013,11,4,634,8
2013,12,29,133,3
2013,12,31,229,1
2013,11,11,513,1
2013,12,10,893,2
2013,10,17,300,1
2013,12,1,634,5
2013,10,17,905,1
2013,10,24,513,2
2013,10,24,512,2
2013,12,16,837,1
2013,10,17,901,5
2013,12,16,835,2
2013,12,16,834,1
2013,12,16,839,1
2013,12,16,838,3
2013,10,17,908,2
2013,12,16,298,5
2013,12,27,884,1
2013,10,19,910,16
2013,10,19,913,1
2013,10,19,915,13
2013,10,19,914,2
2013,11,27,440,1
2013,12,11,111,3
2013,12,16,742,2
2013,12,20,410,1
2013,12,18,512,6
2013,12,18,513,3
2013,11,28,190,1
2013,10,6,583,1
2013,12,20,2802,3
2013,10,6,584,1
2013,10,6,859,1
2013,10,4,934,1
2013,11,28,229,1
2013,9,29,922,1
2013,9,29,924,1
2013,12,6,830,1
2013,11,3,678,1
2013,12,6,839,1
2013,10,9,128,1
2013,10,9,123,1
2013,10,9,121,1
2013,10,9,126,2
2013,10,9,127,1
2013,9,28,947,1
2013,12,6,781,1
2013,11,12,888,2
2013,12,6,786,1
2013,11,12,887,1
2013,10,1,422,7
2013,12,19,209,1
2013,10,15,2018,1
2013,10,2,512,2
2013,10,8,461,1
2013,12,19,201,1
2013,10,14,922,1
2013,12,31,133,2
2013,12,31,132,2
2013,12,31,136,2
2013,10,9,696,2
2013,10,9,873,1
2013,11,3,110,2
2013,10,15,395,4
2013,12,17,178,1
2013,10,28,173,2
2013,10,28,170,1
2013,11,12,386,2
2013,12,29,638,1
2013,12,13,375,2
2013,12,13,374,2
2013,12,29,634,3
2013,12,30,308,1
2013,12,25,363,3
2013,12,25,362,1
2013,12,25,366,6
2013,12,31,397,1
2013,10,14,884,1
2013,12,25,133,3
2013,11,7,889,1
2013,11,7,884,3
2013,11,2,180,2
2013,11,2,181,1
2013,12,3,461,1
2013,11,2,184,4
2013,12,14,483,1
2013,10,19,750,1
2013,10,29,2342,1
2013,10,29,2343,1
2013,10,29,2345,2
2013,10,5,410,1
2013,11,5,908,1
2013,11,12,2308,4
2013,11,5,901,7
2013,11,5,651,1
2013,10,19,133,4
2013,10,19,132,3
2013,12,2,804,1
2013,10,19,136,3
2013,11,5,309,1
2013,11,4,821,1
2013,11,29,688,1
2013,11,4,826,1
2013,10,31,369,1
2013,11,1,455,1
2013,10,10,229,1
2013,12,27,413,1
2013,12,27,415,1
2013,12,21,315,2
2013,12,24,920,1
2013,12,24,924,2
2013,12,18,2329,6
2013,11,29,462,1
2013,11,2,2334,1
2013,11,2,2336,1
2013,12,7,161,3
2013,12,13,922,1
2013,10,15,945,1
2013,11,7,465,2
2013,11,7,460,2
2013,11,7,462,1
2013,11,7,463,1
2013,10,30,635,1
2013,10,30,634,1
2013,10,30,639,1
2013,10,30,638,1
2013,10,1,226,5
2013,10,1,220,6
2013,10,1,222,3
2013,12,8,821,6
2013,12,8,822,5
2013,12,8,824,1
2013,12,8,825,3
2013,11,8,512,3
2013,11,11,2145,1
2013,12,1,133,1
2013,11,1,737,1
2013,12,17,901,5
2013,12,17,906,2
2013,12,11,2303,5
2013,11,7,790,1
2013,9,30,2014,1
2013,10,11,201,1
2013,12,26,350,1
2013,10,15,368,1
2013,11,26,711,1
2013,10,15,367,3
2013,10,15,362,6
2013,12,12,825,4
2013,10,19,2329,1
2013,11,11,2329,1
2013,12,16,190,2
2013,11,10,570,2
2013,10,23,924,3
2013,10,6,119,1
2013,12,29,2303,1
2013,12,7,830,4
2013,12,7,833,2
2013,11,27,161,2
2013,11,27,162,3
2013,12,16,614,2
2013,12,9,863,1
2013,12,7,839,2
2013,9,30,136,2
2013,12,10,462,1
2013,12,10,460,1
2013,12,10,461,1
2013,12,10,394,1
2013,12,10,397,4
2013,12,10,398,6
2013,12,5,901,2
2013,10,11,934,1
2013,10,18,790,1
2013,9,27,222,1
2013,12,25,170,1
2013,12,25,173,2
2013,12,13,569,7
2013,12,4,363,1
2013,12,4,362,2
2013,9,30,864,2
2013,12,31,895,1
2013,12,31,893,6
2013,12,9,696,3
2013,12,31,898,4
2013,11,6,701,1
2013,11,6,254,1
2013,12,7,765,1
2013,10,8,859,1
2013,12,7,762,1
2013,12,3,940,1
2013,12,20,629,1
2013,11,3,569,3
2013,12,20,622,1
2013,12,11,337,1
2013,12,11,335,2
2013,12,11,334,1
2013,12,11,330,1
2013,11,12,472,1
2013,12,11,339,1
2013,12,11,338,1
2013,10,9,485,1
2013,10,9,484,1
2013,11,3,301,1
2013,9,27,2302,4
2013,11,8,350,1
2013,9,27,2305,1
2013,11,8,358,3
2013,12,24,119,7
2013,12,24,110,1
2013,12,14,813,1
2013,11,6,873,1
2013,11,12,696,2
2013,12,13,748,1
2013,12,12,753,1
2013,12,5,339,1
2013,10,29,353,5
2013,10,7,232,1
2013,10,1,249,12
2013,12,3,869,1
2013,10,27,945,1
2013,12,19,584,4
2013,12,26,924,2
2013,12,26,925,1
2013,10,22,652,1
2013,10,22,653,1
2013,10,9,330,1
2013,10,2,701,3
2013,10,2,700,1
2013,10,22,128,2
2013,10,2,851,2
2013,10,2,859,1
2013,11,6,464,1
2013,12,12,2145,1
2013,10,9,2342,1
2013,12,11,813,1
2013,12,29,868,1
2013,12,29,869,1
2013,12,30,110,1
2013,12,30,111,2
2013,12,11,934,1
2013,12,21,366,11
2013,12,21,360,5
2013,12,21,363,1
2013,10,11,2918,2
2013,12,13,2145,1
2013,10,27,330,1
2013,10,24,689,2
2013,12,15,382,4
2013,11,7,322,6
2013,11,7,321,1
2013,10,17,895,1
2013,11,7,327,3
2013,11,7,326,2
2013,11,7,324,2
2013,11,7,329,1
2013,11,7,328,6
2013,11,5,462,1
2013,12,2,342,1
2013,10,18,2308,2
2013,11,24,901,1
2013,11,9,180,2
2013,10,17,328,14
2013,10,17,329,6
2013,10,17,321,2
2013,10,17,322,8
2013,10,17,323,15
2013,10,17,324,3
2013,10,17,325,1
2013,10,17,326,3
2013,11,9,184,4
2013,10,26,321,1
2013,10,26,322,2
2013,10,26,323,3
2013,10,26,634,4
2013,12,15,126,1
2013,12,15,125,1
2013,12,15,650,1
2013,11,30,126,1
2013,12,15,120,1
2013,11,30,127,6
2013,10,19,935,2
2013,10,19,934,2
2013,11,8,395,1
2013,11,29,328,5
2013,11,23,569,1
2013,11,27,318,1
2013,11,29,322,4
2013,11,29,323,4
2013,11,29,324,1
2013,11,27,312,1
2013,11,29,326,2
2013,11,29,327,3
2013,10,3,155,1
2013,11,5,669,1
2013,9,28,711,1
2013,12,28,398,1
2013,10,30,570,2
2013,12,22,2343,1
2013,10,20,745,1
2013,9,27,416,1
2013,12,1,901,4
2013,12,1,906,1
2013,12,6,813,1
2013,11,28,247,1
2013,12,9,229,1
2013,12,16,762,2
2013,12,16,760,4
2013,12,16,766,3
2013,12,16,765,3
2013,12,10,2333,3
2013,12,10,2335,4
2013,12,10,2336,8
2013,12,28,934,1
2013,11,12,867,2
2013,11,12,866,4
2013,10,6,309,2
2013,9,28,843,1
2013,12,20,866,1
2013,10,1,445,5
2013,10,14,905,1
2013,12,3,833,1
2013,10,14,901,5
2013,12,25,696,3
2013,10,27,712,1
2013,11,24,935,2
2013,10,7,750,3
2013,11,3,172,1
2013,11,3,173,1
2013,11,3,170,1
2013,10,28,119,1
2013,12,14,315,2
2013,10,1,390,5
2013,10,28,111,1
2013,10,28,110,3
2013,12,13,355,1
2013,12,13,354,1
2013,12,29,650,1
2013,9,30,472,4
2013,9,30,474,2
2013,12,30,323,1
2013,12,30,322,3
2013,12,30,326,1
2013,12,30,328,8
2013,11,6,2295,1
2013,10,10,512,2
2013,12,12,569,4
2013,10,11,580,1
2013,12,19,2336,12
2013,12,19,2337,3
2013,12,19,2335,4
2013,12,19,2333,4
2013,11,8,934,1
2013,10,18,947,1
2013,10,27,866,1
2013,10,17,669,1
2013,11,3,790,1
2013,11,5,922,3
2013,11,5,920,1
2013,11,5,924,6
2013,10,21,405,2
2013,11,5,678,1
2013,12,13,323,9
2013,10,22,350,1
2013,12,30,584,3
2013,12,30,583,4
2013,12,30,850,3
2013,12,30,580,3
2013,12,31,513,2
2013,12,31,512,1
2013,11,8,162,2
2013,11,8,161,1
2013,12,24,308,1
2013,12,24,309,1
2013,12,6,2333,2
2013,12,6,2335,2
2013,10,28,2332,1
2013,12,6,2336,2
2013,12,18,2342,1
2013,12,18,2344,1
2013,12,18,2345,4
2013,10,29,161,2
2013,12,18,893,5
2013,12,18,895,1
2013,12,18,898,13
2013,12,21,824,1
2013,12,21,825,4
2013,11,10,2336,1
2013,12,21,821,5
2013,11,10,2338,1
2013,10,3,638,2
2013,10,1,202,1
2013,11,8,570,1
2013,12,17,298,5
2013,12,17,292,7
2013,12,17,925,1
2013,11,10,434,1
2013,12,17,923,1
2013,12,15,460,2
2013,11,5,583,3
2013,10,23,497,1
2013,11,5,584,11
2013,11,2,201,1
2013,10,15,348,1
2013,10,19,2309,1
2013,12,31,2338,3
2013,12,6,2802,1
2013,12,31,2334,3
2013,12,31,2335,6
2013,12,31,2336,12
2013,12,31,2337,1
2013,12,31,2333,7
2013,11,11,394,2
2013,11,11,395,1
2013,11,11,393,1
2013,12,7,850,4
2013,12,7,857,1
2013,12,10,915,1
2013,12,10,913,1
2013,10,14,570,1
2013,12,17,438,3
2013,12,17,439,4
2013,10,11,2111,3
2013,10,11,2112,2
2013,12,17,435,3
2013,10,11,2114,2
2013,11,10,884,1
2013,12,5,924,1
2013,10,19,898,2
2013,12,5,923,1
2013,12,27,924,4
2013,12,14,2329,4
2013,12,5,825,1
2013,11,5,689,3
2013,12,16,202,1
2013,12,8,2345,1
2013,12,8,2343,3
2013,10,2,2332,3
2013,10,2,2331,2
2013,10,2,2334,3
2013,12,23,824,1
2013,12,23,825,4
2013,12,22,569,3
2013,12,23,822,2
2013,12,7,700,1
2013,10,23,2336,1
2013,10,23,2333,1
2013,10,23,2332,1
2013,12,20,608,1
2013,12,24,689,1
2013,11,12,326,4
2013,11,12,327,2
2013,11,12,324,2
2013,12,11,352,2
2013,9,27,759,1
2013,11,12,323,10
2013,12,11,358,3
2013,11,12,328,16
2013,11,12,329,2
