"Year","Month","Day","Line","NumberOfOutliers"
2013,12,25,229,2
2013,12,5,2332,1
2013,10,7,349,1
2013,10,7,438,1
2013,12,30,209,1
2013,11,6,2338,2
2013,10,7,345,3
2013,9,29,685,1
2013,12,12,2381,1
2013,10,31,497,2
2013,12,4,872,1
2013,11,9,119,3
2013,10,23,132,1
2013,10,23,133,1
2013,11,9,110,1
2013,11,9,111,1
2013,12,16,2101,1
2013,10,19,438,1
2013,10,18,312,1
2013,10,3,323,10
2013,12,16,465,7
2013,10,5,330,1
2013,12,30,2802,3
2013,12,22,127,1
2013,10,17,786,2
2013,11,24,363,2
2013,11,1,170,2
2013,11,7,525,1
2013,11,7,254,2
2013,11,1,172,1
2013,11,2,884,2
2013,12,21,569,4
2013,11,1,173,4
2013,10,18,2014,1
2013,10,18,2015,1
2013,10,22,908,1
2013,11,24,342,1
2013,11,4,721,1
2013,12,11,405,1
2013,12,11,409,1
2013,12,20,2345,4
2013,12,20,2342,1
2013,11,6,309,1
2013,12,18,398,8
2013,12,18,391,1
2013,10,15,422,1
2013,10,15,425,1
2013,12,18,397,1
2013,11,11,438,1
2013,11,23,415,2
2013,11,25,639,1
2013,10,20,111,1
2013,10,20,110,1
2013,10,6,901,3
2013,12,8,696,6
2013,10,15,393,9
2013,10,15,392,2
2013,10,15,390,1
2013,10,15,397,7
2013,10,15,396,2
2013,10,4,378,1
2013,10,15,394,1
2013,12,17,173,2
2013,12,17,172,1
2013,12,17,170,3
2013,9,28,663,1
2013,10,30,157,1
2013,12,24,841,3
2013,12,24,840,7
2013,10,30,397,2
2013,12,24,849,3
2013,10,1,123,2
2013,10,1,120,2
2013,10,1,121,2
2013,10,1,126,1
2013,10,1,127,1
2013,10,1,125,3
2013,10,1,128,3
2013,12,16,345,1
2013,12,16,611,3
2013,12,17,358,2
2013,12,16,341,5
2013,12,16,615,2
2013,12,16,342,5
2013,12,17,353,6
2013,12,17,352,3
2013,12,17,351,1
2013,12,17,350,6
2013,12,16,349,2
2013,12,16,348,3
2013,12,17,355,6
2013,12,17,354,1
2013,10,5,924,10
2013,10,5,922,2
2013,11,27,485,1
2013,9,27,783,1
2013,9,27,781,1
2013,11,26,635,2
2013,11,26,634,6
2013,11,26,639,1
2013,10,17,2310,3
2013,12,22,821,7
2013,12,17,379,1
2013,12,22,822,5
2013,12,22,825,2
2013,12,22,824,1
2013,12,20,322,1
2013,12,20,323,3
2013,11,9,2344,7
2013,12,20,328,4
2013,12,20,329,1
2013,11,9,2342,1
2013,11,9,2343,2
2013,11,30,910,4
2013,10,2,448,1
2013,12,4,178,1
2013,11,30,915,5
2013,12,3,634,2
2013,12,19,460,1
2013,10,27,405,1
2013,12,20,180,3
2013,12,20,184,4
2013,10,31,136,2
2013,10,11,161,2
2013,10,11,162,1
2013,11,12,513,1
2013,11,12,512,5
2013,9,27,127,1
2013,10,21,404,1
2013,9,27,125,1
2013,11,9,934,2
2013,11,9,935,1
2013,12,11,2295,4
2013,12,28,323,2
2013,10,17,415,2
2013,12,5,610,1
2013,12,11,133,6
2013,12,11,132,5
2013,11,4,261,1
2013,12,9,583,4
2013,12,13,190,1
2013,11,4,869,1
2013,10,9,652,1
2013,12,18,669,1
2013,11,5,858,1
2013,11,5,857,1
2013,10,3,881,1
2013,11,5,852,3
2013,11,5,851,1
2013,12,23,132,2
2013,12,31,161,2
2013,12,30,696,1
2013,12,31,460,4
2013,12,31,462,1
2013,12,31,465,3
2013,11,3,409,1
2013,12,23,136,3
2013,11,3,405,1
2013,11,25,277,1
2013,10,11,348,7
2013,10,11,349,4
2013,10,11,344,2
2013,10,11,345,1
2013,10,11,341,9
2013,10,28,934,3
2013,12,13,583,4
2013,12,21,910,2
2013,12,21,914,1
2013,12,21,915,6
2013,10,22,2381,1
2013,11,24,119,1
2013,11,24,110,1
2013,12,12,360,5
2013,12,12,366,7
2013,10,1,337,2
2013,10,1,335,7
2013,10,1,334,9
2013,12,13,584,7
2013,10,1,331,2
2013,10,1,330,1
2013,10,29,763,1
2013,10,29,762,1
2013,10,29,761,3
2013,10,29,760,3
2013,10,29,766,6
2013,10,29,765,4
2013,10,29,764,2
2013,10,14,864,4
2013,11,10,328,6
2013,11,10,329,2
2013,11,10,324,2
2013,11,10,326,4
2013,10,14,866,1
2013,11,10,322,3
2013,11,10,323,7
2013,12,11,2111,1
2013,12,25,154,1
2013,12,29,123,1
2013,12,10,867,1
2013,12,29,120,1
2013,12,10,712,1
2013,12,10,868,5
2013,12,10,869,3
2013,12,15,2336,2
2013,12,24,322,3
2013,11,2,940,1
2013,12,15,2335,2
2013,10,23,309,1
2013,9,28,472,2
2013,12,12,813,2
2013,12,17,778,4
2013,10,14,110,1
2013,10,14,111,1
2013,10,15,184,3
2013,10,15,183,4
2013,10,15,180,4
2013,10,24,781,1
2013,10,24,782,1
2013,12,1,460,1
2013,12,1,463,1
2013,12,17,721,4
2013,11,7,758,1
2013,12,15,485,3
2013,12,15,484,2
2013,12,16,158,2
2013,12,16,404,1
2013,12,16,405,1
2013,12,16,401,5
2013,12,16,154,1
2013,12,16,155,1
2013,12,16,409,4
2013,11,11,378,1
2013,11,11,373,1
2013,12,28,125,1
2013,12,28,650,1
2013,11,6,472,2
2013,12,9,2344,1
2013,11,6,474,1
2013,10,21,181,1
2013,12,22,362,1
2013,12,22,363,1
2013,12,22,360,3
2013,12,22,366,9
2013,12,20,513,6
2013,12,20,512,5
2013,12,18,415,1
2013,12,18,413,2
2013,11,4,184,1
2013,12,17,483,3
2013,11,4,183,2
2013,12,16,639,2
2013,10,30,363,3
2013,10,19,742,1
2013,11,23,363,1
2013,11,23,360,1
2013,11,1,924,6
2013,10,14,378,8
2013,10,14,379,1
2013,10,29,884,1
2013,9,27,334,1
2013,10,14,375,3
2013,10,14,376,1
2013,9,27,338,1
2013,10,14,370,1
2013,10,14,371,1
2013,12,1,315,4
2013,11,6,298,1
2013,12,25,360,4
2013,10,1,928,1
2013,10,24,2309,1
2013,10,1,922,2
2013,10,1,923,1
2013,10,24,2307,1
2013,12,13,696,7
2013,10,1,924,4
2013,10,26,277,1
2013,12,23,629,2
2013,10,16,898,2
2013,10,14,326,7
2013,10,16,723,3
2013,12,4,512,2
2013,12,21,801,1
2013,10,14,802,1
2013,12,17,2018,3
2013,12,19,322,4
2013,12,19,323,7
2013,12,19,634,3
2013,12,19,328,5
2013,12,31,852,1
2013,12,31,678,2
2013,12,31,857,1
2013,9,29,511,1
2013,11,10,155,1
2013,10,14,2332,2
2013,10,31,922,1
2013,10,31,924,4
2013,10,11,753,1
2013,12,8,170,1
2013,10,11,759,1
2013,10,1,2145,1
2013,12,20,398,9
2013,11,2,712,1
2013,10,10,328,11
2013,12,6,2018,1
2013,10,10,161,4
2013,10,27,2338,3
2013,11,9,132,2
2013,11,9,133,3
2013,11,9,136,1
2013,10,18,846,1
2013,10,18,337,1
2013,10,18,330,1
2013,10,18,843,1
2013,10,18,840,1
2013,12,17,638,4
2013,12,2,298,1
2013,12,2,928,1
2013,11,24,635,1
2013,12,2,924,4
2013,12,26,161,1
2013,12,26,162,1
2013,11,24,321,4
2013,11,24,323,11
2013,11,24,322,7
2013,11,24,325,2
2013,11,24,324,1
2013,11,24,326,6
2013,11,24,329,1
2013,12,11,422,1
2013,11,8,2145,2
2013,11,5,127,1
2013,11,11,415,1
2013,9,28,395,1
2013,12,27,358,1
2013,11,8,550,1
2013,11,24,261,1
2013,11,1,651,1
2013,12,17,119,1
2013,10,18,392,1
2013,10,4,350,1
2013,12,17,111,1
2013,12,24,869,4
2013,12,24,868,1
2013,11,25,2343,1
2013,11,25,2342,2
2013,12,7,2335,8
2013,12,3,2802,1
2013,12,8,415,1
2013,12,12,2337,2
2013,10,1,107,2
2013,11,8,413,1
2013,12,16,369,11
2013,12,16,368,1
2013,12,16,366,8
2013,12,16,363,5
2013,12,16,362,13
2013,12,16,361,2
2013,12,16,360,2
2013,12,6,129,1
2013,12,9,669,1
2013,12,6,127,1
2013,12,6,126,2
2013,12,6,125,2
2013,10,5,901,4
2013,10,5,908,1
2013,12,3,779,1
2013,12,3,778,1
2013,9,28,2344,4
2013,12,3,773,1
2013,9,28,2343,3
2013,11,10,634,7
2013,11,1,696,3
2013,10,17,2332,2
2013,10,17,2338,5
2013,12,22,804,7
2013,9,28,136,1
2013,10,23,841,1
2013,10,21,790,1
2013,12,23,678,1
2013,10,2,460,2
2013,10,2,462,1
2013,12,9,841,1
2013,10,27,462,1
2013,10,8,229,1
2013,12,9,840,6
2013,12,4,158,1
2013,12,16,893,1
2013,12,16,898,2
2013,12,13,201,1
2013,10,17,438,1
2013,11,7,869,1
2013,10,2,426,1
2013,10,21,2303,1
2013,12,5,636,1
2013,12,3,650,1
2013,12,25,786,1
2013,12,28,822,1
2013,12,28,821,1
2013,11,4,247,1
2013,12,11,161,4
2013,12,7,601,1
2013,10,9,634,8
2013,10,9,635,2
2013,12,7,609,1
2013,10,11,107,5
2013,12,30,901,3
2013,12,31,332,14
2013,11,1,190,1
2013,9,29,183,1
2013,12,11,624,4
2013,10,10,378,4
2013,10,1,484,5
2013,12,12,162,3
2013,10,29,569,3
2013,11,27,345,1
2013,11,8,782,1
2013,11,8,781,1
2013,12,21,934,1
2013,11,2,382,1
2013,12,6,460,3
2013,10,22,209,2
2013,11,24,132,2
2013,12,12,382,5
2013,12,29,696,2
2013,12,12,389,1
2013,12,8,771,2
2013,10,29,781,1
2013,12,13,2303,3
2013,10,29,782,1
2013,12,8,779,1
2013,10,10,852,3
2013,12,15,935,2
2013,10,28,405,1
2013,10,10,858,1
2013,11,30,315,2
2013,10,19,783,1
2013,12,3,180,1
2013,12,10,841,3
2013,12,10,843,1
2013,12,3,184,1
2013,12,18,850,6
2013,12,10,849,3
2013,10,11,2381,5
2013,12,21,247,1
2013,11,7,190,1
2013,12,12,833,2
2013,12,30,911,1
2013,11,4,884,2
2013,12,12,839,2
2013,12,5,945,1
2013,11,1,866,2
2013,10,24,405,1
2013,11,1,862,1
2013,12,17,709,2
2013,12,17,254,3
2013,12,17,700,4
2013,12,17,701,2
2013,11,7,778,1
2013,12,7,184,2
2013,12,7,181,1
2013,12,16,420,2
2013,12,22,161,4
2013,12,16,422,7
2013,12,16,423,1
2013,12,16,136,1
2013,12,16,426,3
2013,12,9,721,1
2013,12,2,127,1
2013,12,2,126,1
2013,12,2,125,1
2013,12,2,123,1
2013,11,11,350,1
2013,11,11,351,1
2013,11,4,472,1
2013,12,2,128,2
2013,12,11,756,3
2013,11,8,2017,1
2013,12,11,750,4
2013,12,11,753,1
2013,10,30,696,5
2013,11,8,2018,1
2013,12,11,759,7
2013,12,4,700,1
2013,10,14,170,1
2013,12,18,474,1
2013,10,6,2918,1
