"Year","Month","Day","Hour","Line","BusId","NumberOfOutliers"
2013,12,17,15,840,D87159,1
2013,12,13,22,154,A37548,1
2013,11,25,23,239,B71150,1
2013,12,11,7,395,D58635,1
2013,12,20,6,315,C41400,1
2013,11,6,21,901,B10164,1
2013,10,28,4,121,A41256,1
2013,10,1,11,323,B10075,1
2013,12,8,22,804,D87139,1
2013,11,25,11,650,B42620,1
2013,12,16,17,2101,B41803,1
2013,10,14,16,2345,C12501,2
2013,12,10,22,893,D87237,1
2013,12,13,23,2333,C87846,1
2013,11,24,14,483,B31034,1
2013,11,11,19,910,B10183,1
2013,11,11,20,2303,D90503,2
2013,12,17,11,889,C13012,1
2013,12,15,22,2336,D87878,1
2013,10,24,14,880,C20183,1
2013,12,9,20,822,D87339,1
2013,12,2,9,901,B10191,1
2013,10,20,4,127,A41150,1
2013,12,20,8,650,B42620,2
2013,10,10,11,915,B10079,1
2013,12,12,5,771,D87792,1
2013,12,11,23,893,D87489,1
2013,11,1,23,584,A37693,2
2013,10,27,20,634,B10166,1
2013,11,10,21,184,A37515,2
2013,12,19,3,154,A37517,1
2013,10,17,3,922,B10175,1
2013,12,11,12,803,D13174,1
2013,12,14,22,397,D53646,1
2013,12,16,17,624,B51597,1
2013,9,28,17,511,A37583,1
2013,12,16,20,190,A41375,1
2013,12,21,23,2344,B28702,1
2013,12,5,23,2302,B31546,1
2013,12,7,13,849,D87201,1
2013,11,7,18,2332,D86778,1
2013,12,11,8,397,D53575,1
2013,12,13,21,650,B42620,2
2013,12,17,12,2251,B25804,2
2013,12,17,12,2251,B25802,2
2013,12,19,22,361,C87188,1
2013,10,1,18,125,A71611,1
2013,12,21,16,125,A71600,1
2013,12,21,21,321,B28502,1
2013,10,3,4,133,A37584,1
2013,12,6,10,805,C50136,1
2013,11,12,8,835,D86106,1
2013,11,3,21,323,B10163,1
2013,10,24,5,328,B10104,1
2013,12,24,15,366,D87459,1
2013,10,6,13,910,B10074,1
2013,11,29,12,328,B10002,1
2013,12,15,17,186,A21152,1
2013,12,18,11,217,A71595,2
2013,12,12,20,813,D87331,1
2013,11,8,18,910,B10183,2
2013,12,18,17,868,D87204,1
2013,12,24,5,569,A37652,1
2013,11,23,14,583,A37583,1
2013,12,22,4,583,A37703,1
2013,12,19,2,634,B10094,1
2013,11,7,14,261,B60075,2
2013,12,11,11,905,B27088,1
2013,10,23,20,910,B10066,1
2013,12,16,23,247,B71045,1
2013,12,17,15,119,A37616,1
2013,10,17,23,318,C41337,1
2013,10,11,10,924,B10140,1
2013,10,11,21,464,A55030,1
2013,12,17,8,366,D87454,1
2013,10,1,14,474,A29151,2
2013,10,1,14,474,A29150,1
2013,12,17,8,328,B10007,1
2013,11,25,17,328,B10002,1
2013,12,11,12,398,D87459,1
2013,12,12,19,2336,D87878,1
2013,12,11,13,129,A41116,1
2013,12,5,23,765,C30045,1
2013,12,17,11,220,A50218,2
2013,12,17,8,439,A27525,1
2013,12,16,19,676,B44553,1
2013,12,13,19,868,D87380,2
2013,10,11,5,405,B31003,2
2013,10,28,14,2332,D86751,1
2013,10,27,20,924,B10003,1
2013,10,3,13,378,B11624,1
2013,11,8,20,2381,D86783,1
2013,12,17,10,338,C13023,1
2013,12,7,23,898,D87041,1
2013,12,16,17,801,D13205,1
2013,12,7,22,327,B10083,1
2013,11,8,20,2381,D86789,1
2013,12,11,1,804,D87050,1
2013,12,29,21,663,B28611,1
2013,12,17,10,709,C44667,1
2013,11,23,10,184,A37634,1
2013,12,17,8,298,B75583,1
2013,12,17,16,762,C39645,1
2013,12,3,17,409,A71525,1
2013,12,22,18,398,D87526,1
2013,10,2,4,583,A37703,1
2013,12,22,18,398,D87525,1
2013,12,23,7,650,B42620,1
2013,12,8,19,761,C39625,1
2013,10,6,13,901,B10076,1
2013,12,27,11,398,D87190,1
2013,12,7,17,898,D87140,1
2013,12,21,12,125,A71595,1
2013,12,11,15,2336,D87875,1
2013,12,11,15,2336,D87877,2
2013,12,15,16,178,A41073,1
2013,10,11,20,623,B58079,1
2013,12,16,14,358,D81031,1
2013,12,16,16,383,D58624,1
2013,10,11,19,380,C20069,1
2013,12,11,4,569,A37652,1
2013,12,12,13,328,B10069,2
2013,10,23,21,323,B10197,2
2013,10,16,19,323,B10016,1
2013,12,16,23,183,A37576,1
2013,12,18,12,2145,B41801,1
2013,10,18,22,914,B10066,1
2013,9,28,22,924,B10192,2
2013,12,11,7,362,B11580,1
2013,10,1,15,328,B10130,1
2013,12,11,15,650,B42620,1
2013,10,9,2,635,B10015,1
2013,12,21,18,2335,D87825,1
2013,12,21,18,2335,D87827,1
2013,12,4,16,158,A21162,1
2013,11,24,17,328,B10034,1
2013,10,6,17,181,A41321,1
2013,10,8,23,580,A37742,1
2013,12,13,22,833,D87288,2
2013,12,24,21,238,B71083,1
2013,12,11,15,378,B11628,1
2013,12,17,10,128,A41307,1
2013,12,17,10,734,C30168,1
2013,12,16,20,773,B11723,1
2013,11,9,19,301,C50092,1
2013,11,4,9,779,B32599,1
2013,12,13,21,323,B10093,1
2013,11,23,8,652,C82548,1
2013,10,21,13,2801,D86716,1
2013,11,10,4,181,A41246,1
2013,12,17,15,378,B11503,1
2013,12,23,23,910,B10161,1
2013,12,24,11,125,A71595,1
2013,10,17,5,328,B10012,1
2013,10,11,3,161,A37713,2
2013,12,14,19,360,C87394,1
2013,12,13,17,2333,C87811,1
2013,11,2,4,635,B10126,2
2013,12,9,5,580,A37746,1
2013,10,16,19,386,B31225,2
2013,12,30,22,2336,D87873,1
2013,12,17,11,601,C20043,2
2013,12,17,10,773,B11634,1
2013,12,11,22,360,C87396,1
2013,11,8,4,634,B10155,1
2013,10,18,18,329,B28599,1
2013,12,13,4,154,A37548,1
2013,12,11,7,388,D90014,1
2013,12,17,10,838,D86319,1
2013,11,27,9,901,B10190,1
2013,10,8,22,934,B10018,1
2013,12,11,9,901,B10113,1
2013,10,14,20,915,B10004,1
2013,12,14,23,696,B28573,1
2013,12,13,21,898,D87535,1
2013,12,13,21,898,D87533,2
2013,11,28,19,901,B10186,1
2013,12,17,16,835,D86331,1
2013,12,24,20,2336,D87874,1
2013,12,17,11,832,C39665,2
2013,12,24,20,2336,D87877,1
2013,10,18,23,172,A41279,1
2013,12,20,19,126,A41340,1
2013,12,12,23,804,D87503,1
2013,12,28,11,895,D87493,1
2013,12,4,13,2295,B31522,1
2013,10,2,12,2381,D86750,1
2013,12,7,17,2344,B28704,1
2013,12,7,20,323,B10036,2
2013,11,26,9,328,B10034,1
2013,11,2,20,321,B28522,1
2013,10,5,6,2338,D86717,1
2013,11,2,20,321,B28525,1
2013,12,15,4,2345,C12515,1
2013,10,11,22,474,A29053,1
2013,12,2,23,635,B10133,1
2013,12,17,10,313,B58174,1
2013,12,14,8,634,B10126,1
2013,12,8,2,771,D87785,1
2013,10,6,19,924,B10079,1
2013,10,2,5,322,B10194,1
2013,9,27,13,700,C20078,2
2013,12,17,15,2310,D53918,1
2013,10,2,21,731,D59159,1
2013,12,13,23,771,D87109,2
2013,12,16,19,483,B31034,1
2013,12,7,18,178,A41323,1
2013,12,14,20,328,B10012,1
2013,10,19,17,181,A41209,1
2013,12,17,22,934,B10018,1
2013,11,9,2,924,B10192,2
2013,12,17,12,691,C47750,2
2013,12,17,15,316,C41102,1
2013,12,6,19,382,C87408,1
2013,12,16,15,2343,B28740,1
2013,12,16,17,621,B58030,1
2013,12,21,1,2335,D87837,1
2013,10,14,23,323,B10044,2
2013,12,24,21,361,C87019,1
2013,10,14,19,369,D53667,1
2013,12,17,8,690,C20048,1
2013,12,10,4,136,A37647,1
2013,12,10,20,830,D87243,1
2013,9,28,22,323,B10155,1
2013,10,17,23,747,C39546,1
2013,11,7,4,910,B10143,2
2013,9,29,0,634,B10015,1
2013,12,20,18,369,D53507,1
2013,12,6,5,323,B10166,1
2013,11,1,5,184,A37580,1
2013,10,29,23,924,B10131,1
2013,11,6,18,2302,B31541,1
2013,12,21,1,315,C41130,1
2013,11,26,7,639,B27011,1
2013,11,25,8,363,C82656,1
2013,11,29,21,438,A27514,1
2013,12,16,18,2335,D87835,1
2013,12,16,18,2335,D87834,1
2013,10,22,2,322,B10090,1
2013,9,29,3,511,A37583,2
2013,12,20,16,126,A41340,1
2013,10,11,17,393,D53584,1
2013,12,26,8,315,C21025,1
2013,12,26,8,315,C21027,1
2013,12,14,18,209,A29144,1
2013,12,9,15,318,C41049,1
2013,12,8,4,512,A37522,1
2013,11,12,3,922,B10065,1
2013,11,9,23,915,B10195,1
2013,12,17,16,630,B10560,1
2013,12,16,17,862,C47747,1
2013,11,1,20,2331,D90581,2
2013,12,17,12,125,A71579,2
2013,10,19,1,513,A37750,1
2013,10,14,13,2338,D86721,1
2013,12,11,9,923,D53548,1
2013,12,1,19,696,B28586,1
2013,11,2,22,2343,B28738,1
2013,11,4,19,132,A41044,2
2013,11,5,5,172,A41213,1
2013,9,28,14,484,B31122,1
2013,12,9,23,833,D87289,1
2013,12,20,23,825,D87274,1
2013,12,16,19,753,C30097,1
2013,10,19,13,750,D90065,2
2013,12,7,17,804,D87531,1
2013,12,17,8,350,B73074,1
