"Year","Month","Day","Hour","Line","NumberOfOutliers"
2013,10,9,6,901,1
2013,12,14,1,794,1
2013,12,26,15,570,1
2013,12,9,17,840,1
2013,11,12,12,634,1
2013,10,30,19,410,3
2013,11,12,11,924,2
2013,12,20,23,2329,1
2013,11,24,11,650,1
2013,12,16,1,360,1
2013,12,27,12,898,1
2013,12,27,12,893,1
2013,10,20,10,178,1
2013,11,8,9,323,2
2013,11,8,9,326,1
2013,11,5,23,161,1
2013,12,16,22,700,1
2013,10,11,3,328,4
2013,10,11,3,323,4
2013,10,11,3,322,3
2013,12,13,16,822,2
2013,10,7,17,322,1
2013,10,16,11,178,2
2013,10,7,17,328,1
2013,12,6,18,157,1
2013,10,9,22,330,1
2013,10,29,2,322,1
2013,12,7,19,378,2
2013,11,9,23,180,2
2013,10,9,1,155,2
2013,11,5,15,2305,1
2013,11,9,23,184,1
2013,12,20,18,2345,1
2013,10,19,21,922,1
2013,10,19,21,924,2
2013,11,12,14,924,2
2013,12,14,5,569,2
2013,10,15,12,388,1
2013,10,6,20,935,1
2013,10,6,20,934,3
2013,12,17,15,651,1
2013,12,17,15,652,1
2013,10,7,13,378,2
2013,12,11,16,409,1
2013,12,16,15,456,1
2013,12,16,15,457,3
2013,12,11,9,2332,3
2013,12,11,9,2331,4
2013,12,11,9,2336,16
2013,10,22,8,328,1
2013,10,22,8,322,1
2013,10,22,8,323,2
2013,10,14,23,485,1
2013,11,7,16,2203,1
2013,10,9,10,910,1
2013,12,26,9,934,1
2013,12,26,9,935,1
2013,11,26,10,934,1
2013,10,9,15,838,1
2013,10,19,11,323,3
2013,10,19,11,322,3
2013,10,19,11,328,1
2013,12,24,19,326,1
2013,12,24,19,324,1
2013,12,24,19,323,1
2013,11,26,15,650,1
2013,12,24,19,328,3
2013,10,14,15,901,1
2013,10,11,17,369,1
2013,11,4,4,580,1
2013,10,11,17,362,2
2013,10,3,3,313,2
2013,11,3,16,634,1
2013,12,14,23,323,2
2013,12,14,23,322,2
2013,12,14,23,321,2
2013,12,16,19,662,1
2013,10,10,3,161,1
2013,12,26,7,328,1
2013,11,5,18,354,1
2013,10,18,16,840,1
2013,10,14,18,2307,1
2013,12,17,11,422,14
2013,12,17,11,420,4
2013,12,19,13,2336,1
2013,11,9,3,934,2
2013,12,10,19,497,1
2013,12,17,11,676,4
2013,12,24,4,328,1
2013,12,16,9,328,1
2013,12,17,11,679,2
2013,11,10,23,161,2
2013,12,9,20,2344,1
2013,12,4,4,634,1
2013,11,12,15,873,1
2013,11,12,8,871,1
2013,10,9,13,910,1
2013,11,26,10,201,1
2013,11,2,20,161,1
2013,12,24,22,868,1
2013,12,24,22,869,2
2013,9,27,14,866,1
2013,12,3,11,2018,1
2013,12,21,22,915,1
2013,11,7,18,2309,1
2013,12,21,9,934,1
2013,12,9,4,162,1
2013,12,9,4,161,3
2013,11,1,20,607,1
2013,12,8,10,634,2
2013,12,20,3,2336,1
2013,12,22,22,119,1
2013,12,13,20,922,2
2013,12,31,18,366,3
2013,10,17,18,348,1
2013,10,7,9,318,2
2013,10,2,2,155,2
2013,10,26,21,934,1
2013,11,11,21,924,6
2013,11,9,22,119,1
2013,12,19,22,209,1
2013,11,9,22,111,1
2013,12,19,22,201,1
2013,10,11,21,472,1
2013,10,11,21,474,4
2013,10,11,21,475,2
2013,12,12,23,804,5
2013,10,24,12,2343,1
2013,12,21,20,771,1
2013,12,21,9,209,1
2013,10,5,20,497,1
2013,10,23,23,328,2
2013,10,5,20,498,1
2013,10,23,23,325,1
2013,10,23,23,324,3
2013,12,11,20,301,1
2013,11,4,9,600,1
2013,11,3,12,110,1
2013,10,11,1,155,3
2013,9,30,22,634,2
